#Rayon;Catégorie - Famille;"Durée brute de la tâche (en heure)";"Durée de la tâche arrondie  au quart d'heure supérieur le plus proche (en heure)";Priorité;Contrainte horaire sur des tâches de type « fin avant »;Commentaires;Nombre maximal de divisions de la tâche;
R14;LAIT - ;0,1;0,25;4;;;3;
R14;GATEAU - ;1,9;2;1;;;3;
R14;CONFISERIE - ;2,1;2,25;1;08:30;;3;
R14;DESSERT ET AIDE PATISSIER - ;1,4;1,5;;08:30;;3;
R14;SUCRE  - ;0,4;0,5;;;;3;
R14;FARINE - ;0,7;0,75;;;;3;
R14;DIETETIQUE  - ;2,4;2,5;2;;;3;
R14;ALIMENT INFANTILE - ;1,7;1,75;;;;3;
R14;POTAGE - ;1,2;1,25;6;08:30;;3;
R14;PATES - ;2,1;2,25;1;08:30;;3;
R14;RIZ - ;1;1;2;;;3;
R14;PUREE  - ;0;0;;;;3;
R14;CHIPS - ;0,5;0,5;2;;;3;
R14;CONSERVE  - ;2;2;1;08:30;;3;
R14;CONSERVE DE POISSON - ;0,3;0,5;3;;;3;
R14;PLAT CUISINER - ;0,7;0,75;1;08:30;;3;
R14;CONDIMENT - ;2,8;3;2;08:30;;3;
R14;SAUCES CHAUDES - ;0,3;0,5;4;;;3;
R14;HUILE ET VINAIGRE - ;1,2;1,25;1;;;3;
R14;APERITIF - ;2,5;2,5;1;;;3;
R14;CHIEN CHAT - ;2,1;2,25;1;;;3;
R14;BOUILLON - ;0,4;0,5;;;;3;
R14;CONFISERIE DE CAISSE - ;0;0;;;;3;
R14;PRODUITS DU MONDE - ;1;1;;;;3;
R14;PATISSERIE INDUSTRIELLE - ;0,7;0,75;;;;3;
R14;CHOCOLATS Pâques - ;0;0;;;;3;
R14;CHOCOLATS NOEL - ;0;0;;;;3;
R25;Fromage - PATES MOLLES;2,185;2,25;1;08:30;;3;
R25;Fromage - PERSILLES;0,39625;0,5;1;08:30;;3;
R25;Fromage - CHEVRES ET BREBIS;0,2875;0,5;1;08:30;;3;
R25;Fromage - PATES FRAICHES;1,245;1,25;1;08:30;;3;
R25;Fromage - PATE PRES.CUITE & NON CUI;2,445;2,5;1;08:30;;3;
R25;Fromage - FROMAGES A CUIRE ET FONDU;1,855;2;1;08:30;;3;
R25;Fromage - PRE EMBALLES;0,03;0,25;1;08:30;;3;
R25;Fromage - FROMAGES ALLEGES;0,29;0,5;1;08:30;;3;
R25;Ultra Frais - DESSERTS;7,435714286;7,5;1;08:30;;3;
R25;Ultra Frais - LAIT ENTIER ET SPECIALITE;1,789285714;2;;08:30;;3;
R25;Ultra Frais - NON BLANCS;2,13;2,25;;08:30;;3;
R25;Ultra Frais - SANTE ACTIVE;6,685714286;6,75;;08:30;;3;
R25;Ultra Frais - BLANCS;1,302857143;1,5;;08:30;;3;
R25;Ultra Frais - CROISSANCE;1,853571429;2;;08:30;;3;
R25;Ultra Frais - BOISSONS;1,05;1,25;;08:30;;3;
R25;Ultra Frais - COMPOTES;0,910714286;1;;08:30;;3;
R25;Cremerie - CREMES ET SAUCES;1,3935;1,5;1;;;3;
R25;Cremerie - BEURRE;1,179;1,25;;;;3;
R25;Cremerie - CORPS GRAS VEGETAL/MIXTE;0,6255;0,75;;;;3;
R25;Cremerie - OEUFS;0,339;0,5;;;;3;
R25;Cremerie - LAIT;4,469047619;4,5;;;;3;
R25;Volaille - VOLAILLES ENTIERES;0,135;0,25;1;;;3;
R25;Volaille - DECOUPE DE VOLAILLES;1,7875;2;;;;3;
R25;Volaille - PRODUITS PREPARES;0,68;0,75;;;;3;
R25;Volaille - VOLAILLE HALAL ET CASHER;0,125;0,25;;;;3;
R25;Volaille - ALIMENTS POUR ANIMAUX;0;0;;;;3;
R25;Charcuterie - JAMBON CUIT;2,33125;2,5;1;08:30;;3;
R25;Charcuterie - JAMBON CRU,SEC ET TRANCHA;0,47;0,5;;08:30;;3;
R25;Charcuterie - SAUCISSON/PATES/RILLETTES;0,43375;0,5;;08:30;;3;
R25;Charcuterie - SAUCISSERIE SECHE;0,48625;0,5;;08:30;;3;
R25;Charcuterie - CHARCUTERIE A CUIRE;1,7825;2;;08:30;;3;
R25;Charcuterie - HALAL & CASHER;0,0975;0,25;;08:30;;3;
R25;Traiteur - ENTREES TRAITEUR;1,8;2;1;08:30;;3;
R25;Traiteur - TARTES SALEES TRAITEUR;0,428333333;0,5;;08:30;;3;
R25;Traiteur - PANES FRAIS;0,581666667;0,75;;08:30;;3;
R25;Traiteur - PLATS CUISINES FRAIS;0,776666667;1;;08:30;;3;
R25;Traiteur - PATES FRAICHES ET QUENELL;0,541666667;0,75;;08:30;;3;
